age,annual_income,purchase_amount,gender,city,product_category,payment_method,is_returned
45.25129,90728.14,380.18762,Other,Los Angeles,Sports,UPI,True
33.702984,121105.98,195.8545,Female,Houston,Sports,UPI,False
63.33533,82968.16,689.0946,Female,San Antonio,Electronics,UPI,True
29.23444,93299.71,878.8441,Female,Los Angeles,Sports,Credit Card,False
11.217208,101928.05,250.08725,Other,Chicago,Home,UPI,False
40.548397,107347.625,706.3759,Other,Los Angeles,Home,UPI,False
57.45212,128171.83,1137.0728,Female,Dallas,Electronics,Credit Card,True
52.458164,117131.64,1180.3456,Male,Los Angeles,Sports,Credit Card,True
39.46556,55622.227,358.8195,Male,New York,Home,Credit Card,False
43.422215,85044.48,248.31143,Male,Dallas,Sports,Debit Card,True
35.376263,56125.875,256.4581,Female,Chicago,Clothing,UPI,True
33.667305,96496.17,606.9833,Other,Los Angeles,Beauty,UPI,True
59.799747,99045.21,203.15506,Female,Philadelphia,Beauty,PayPal,False
65.371956,50246.414,256.8992,Female,San Antonio,Sports,UPI,True
33.84695,101391.234,565.898,Other,Phoenix,Clothing,Credit Card,False
37.99588,40990.887,56.981678,Other,New York,Beauty,UPI,False
33.6224,102459.74,740.26654,Other,Houston,Beauty,PayPal,True
52.78405,47005.13,432.46136,Other,New York,Home,PayPal,True
55.662025,79553.625,662.3055,Male,Dallas,Home,UPI,True
32.485386,48736.723,375.78598,Female,Philadelphia,Beauty,PayPal,True
37.18121,138323.39,1146.6046,Female,Phoenix,Home,Credit Card,False
20.866743,49600.566,345.4836,Male,Phoenix,Beauty,PayPal,True
42.278164,29471.277,107.451965,Other,San Diego,Home,PayPal,True
62.104046,76874.016,37.648018,Female,San Diego,Clothing,PayPal,True
52.246506,35247.84,347.33792,Other,Phoenix,Sports,Credit Card,True
21.566673,38297.797,159.06462,Female,San Diego,Beauty,Debit Card,True
42.904408,83093.61,330.42047,Female,Dallas,Electronics,Debit Card,True
58.452255,35034.91,304.1077,Other,San Antonio,Electronics,Credit Card,False
29.89925,89439.59,445.29947,Male,Dallas,Clothing,PayPal,False
24.451431,79076.59,194.24008,Male,Houston,Electronics,Debit Card,True
27.366234,118077.0,420.74112,Male,San Antonio,Clothing,Credit Card,True
52.05381,64569.03,452.5688,Male,Dallas,Clothing,Credit Card,True
29.285744,41378.53,282.92963,Female,Los Angeles,Electronics,PayPal,True
41.119564,125695.66,1077.8868,Other,Philadelphia,Electronics,Debit Card,False
21.172846,51549.812,251.0304,Other,Los Angeles,Electronics,UPI,False
39.09891,108272.75,542.0499,Female,Los Angeles,Clothing,PayPal,True
45.732212,104528.3,998.6595,Male,Dallas,Beauty,UPI,True
46.55869,129986.4,1035.8795,Male,Los Angeles,Home,Debit Card,False
31.118979,83772.086,426.81314,Other,Chicago,Home,UPI,True
42.296616,94020.125,571.0483,Male,Los Angeles,Beauty,Debit Card,False
49.317383,149066.98,150.00128,Male,San Diego,Sports,UPI,True
40.952026,78915.76,235.54433,Female,Philadelphia,Clothing,UPI,False
21.313522,132479.55,188.55887,Female,Dallas,Home,Debit Card,False
55.548958,109212.01,601.9681,Other,San Jose,Sports,PayPal,False
59.87619,38728.637,423.02893,Other,Houston,Sports,Credit Card,True
27.82219,114359.91,590.3215,Male,Philadelphia,Beauty,PayPal,False
33.79505,114483.37,167.49527,Female,Chicago,Beauty,Credit Card,True
10.723712,48685.395,50.87764,Male,San Antonio,Home,Debit Card,True
21.198963,108737.72,680.3236,Male,Chicago,Electronics,Credit Card,True
41.6815,86657.81,413.4244,Male,Philadelphia,Home,Debit Card,True
22.001831,54694.668,87.988434,Other,New York,Electronics,PayPal,False
61.216995,90729.695,499.36462,Other,San Antonio,Home,Debit Card,True
43.72507,73039.84,158.2108,Female,San Jose,Beauty,PayPal,True
34.598305,81635.23,729.8851,Other,Chicago,Sports,Debit Card,True
27.779364,128370.75,446.9716,Female,Los Angeles,Clothing,UPI,False
24.072416,42991.156,181.84624,Other,Houston,Beauty,Credit Card,True
44.893238,147047.7,1161.541,Female,New York,Sports,Credit Card,False
44.9159,97397.484,485.83517,Other,Philadelphia,Home,Credit Card,True
17.891195,66977.125,0.0,Other,New York,Home,Credit Card,False
28.973162,63868.223,264.95972,Female,San Diego,Electronics,UPI,False
63.26481,61863.832,120.24914,Male,Chicago,Beauty,Credit Card,True
38.610527,83444.65,456.56863,Other,Houston,Electronics,UPI,True
31.724602,72253.23,128.84628,Male,San Jose,Clothing,UPI,False
50.60818,129103.57,646.0417,Female,San Antonio,Beauty,Credit Card,False
29.17216,99110.01,99.148,Female,Dallas,Beauty,UPI,False
51.51442,39323.844,104.76926,Other,New York,Electronics,UPI,False
22.58987,111922.336,956.81665,Male,Dallas,Beauty,UPI,False
54.38263,108763.875,942.4472,Other,New York,Sports,Credit Card,False
57.230045,93119.13,571.5431,Male,San Diego,Electronics,UPI,True
49.444927,110737.625,286.33316,Male,San Diego,Sports,Debit Card,False
44.26134,67729.945,347.3026,Female,San Jose,Home,PayPal,True
38.817764,36555.164,158.65106,Other,Philadelphia,Home,Debit Card,False
22.41245,98368.11,692.51544,Female,Phoenix,Sports,Debit Card,True
39.375553,103168.45,501.77347,Female,New York,Beauty,UPI,False
54.168022,87410.945,0.0,Female,Chicago,Clothing,PayPal,False
31.44041,73209.83,677.36975,Other,Houston,Home,Credit Card,True
61.59759,75323.06,401.11417,Other,Chicago,Sports,UPI,True
24.201962,55107.168,461.6055,Female,Chicago,Sports,Credit Card,False
39.4856,110426.22,836.1334,Female,San Jose,Home,UPI,True
54.446774,46297.23,200.31963,Female,Houston,Home,UPI,True
36.143936,143205.84,539.49384,Other,Los Angeles,Beauty,UPI,False
29.635786,34708.906,194.57515,Other,San Diego,Beauty,Credit Card,False
20.880087,128430.234,381.8107,Female,Dallas,Clothing,UPI,True
31.478964,123965.66,514.63605,Female,New York,Sports,Credit Card,False
42.448025,69873.27,234.57654,Male,Philadelphia,Clothing,UPI,False
21.098066,131848.98,1059.225,Other,Chicago,Electronics,UPI,False
48.285583,121777.45,1002.24536,Other,San Diego,Beauty,UPI,True
19.968294,59469.14,257.59607,Male,Dallas,Beauty,UPI,True
39.90471,72517.516,230.24667,Male,Houston,Sports,Credit Card,True
27.97796,136460.39,1273.7435,Other,Dallas,Electronics,Debit Card,True
35.720394,84433.41,0.0,Female,Houston,Beauty,Credit Card,True
55.98025,135377.86,167.88364,Female,Los Angeles,Sports,Credit Card,False
44.031754,32492.826,180.66272,Female,Philadelphia,Electronics,PayPal,True
38.935482,63831.906,174.93904,Other,Los Angeles,Home,PayPal,True
21.31782,76246.586,355.2301,Other,Chicago,Sports,UPI,False
26.090431,42489.633,228.00749,Other,Los Angeles,Sports,Debit Card,True
30.450119,141426.14,142.08502,Female,Houston,Sports,Debit Card,False
17.296469,124653.125,801.1378,Female,Philadelphia,Home,PayPal,False
23.039347,125939.71,372.86346,Female,San Antonio,Beauty,PayPal,True
52.791523,103824.45,512.4617,Other,Phoenix,Electronics,PayPal,True
44.360928,109968.32,1064.4362,Male,Dallas,Home,PayPal,True
20.569782,69986.65,504.4951,Female,San Diego,Beauty,UPI,True
66.744606,82396.74,298.76785,Other,Houston,Beauty,PayPal,False
55.78998,142531.06,1262.198,Male,San Jose,Home,PayPal,True
26.189426,143503.23,815.22217,Other,New York,Home,Credit Card,True
60.354366,73123.71,266.4294,Male,New York,Beauty,Debit Card,False
45.215256,92097.695,372.04013,Male,Phoenix,Clothing,PayPal,False
41.585167,131723.6,322.34528,Female,Phoenix,Clothing,Debit Card,False
55.48639,47068.17,72.19525,Female,San Diego,Beauty,PayPal,False
29.62506,62756.86,0.0,Other,Phoenix,Clothing,UPI,True
60.711197,146324.33,1379.8615,Other,Philadelphia,Clothing,PayPal,False
26.937086,115695.02,833.24615,Female,Los Angeles,Home,Debit Card,True
24.803879,112875.72,244.845,Female,New York,Home,Credit Card,False
50.02848,46685.3,368.63092,Male,New York,Home,Debit Card,False
47.81647,74945.54,626.4981,Other,New York,Clothing,PayPal,True
42.85047,99074.305,630.72266,Female,Phoenix,Beauty,Debit Card,True
45.954895,104728.4,765.2656,Male,San Antonio,Beauty,Debit Card,False
34.255375,43744.434,184.04355,Male,Houston,Electronics,PayPal,True
36.914913,59064.85,260.5657,Female,Phoenix,Clothing,PayPal,True
53.14192,95530.5,276.96646,Other,Chicago,Clothing,PayPal,True
12.9366665,55216.54,41.576588,Other,San Jose,Home,Debit Card,False
55.20183,114884.695,43.17558,Female,Dallas,Home,UPI,False
33.11675,117887.02,1049.8518,Female,Phoenix,Home,PayPal,True
32.306023,77534.74,299.0414,Female,Phoenix,Home,Debit Card,True
59.473545,83390.484,549.49835,Female,San Antonio,Clothing,PayPal,True
44.023003,55002.05,262.24017,Male,Los Angeles,Clothing,Debit Card,False
16.453472,68182.66,653.0905,Other,San Antonio,Clothing,Credit Card,False
54.30423,133815.94,307.9156,Male,Phoenix,Beauty,UPI,False
35.781815,72879.66,0.0,Female,Dallas,Electronics,Debit Card,True
52.634552,76363.12,46.94102,Female,Chicago,Beauty,UPI,False
50.648323,55218.523,185.04242,Male,Chicago,Home,PayPal,False
37.44638,42971.953,174.10277,Other,Dallas,Electronics,PayPal,False
30.200502,89628.48,361.69034,Female,Phoenix,Beauty,Credit Card,True
26.205967,81770.625,430.34683,Female,Dallas,Home,Debit Card,True
55.25091,101258.01,405.25366,Male,San Jose,Home,Debit Card,False
48.048836,89861.625,431.7365,Other,Dallas,Clothing,Debit Card,False
27.513336,66834.55,601.8844,Other,New York,Beauty,UPI,False
65.070496,108745.46,344.9764,Other,Philadelphia,Clothing,Credit Card,False
59.117737,67560.12,605.1485,Other,New York,Beauty,UPI,False
59.448975,135162.69,1222.5164,Other,San Jose,Clothing,Credit Card,True
33.24071,81913.695,639.47266,Other,San Antonio,Clothing,Debit Card,True
53.41302,119455.33,96.69038,Other,San Diego,Electronics,Credit Card,True
43.508358,133701.69,293.74115,Other,San Jose,Electronics,Credit Card,True
52.84314,55216.22,254.25877,Male,Los Angeles,Beauty,UPI,False
28.375818,89054.75,846.0254,Female,Dallas,Clothing,PayPal,False
32.171528,56625.63,233.02786,Female,Houston,Home,PayPal,True
62.32714,123309.65,619.6769,Female,Houston,Clothing,PayPal,False
27.996284,112621.02,634.10693,Female,San Antonio,Home,UPI,False
23.318329,80612.39,756.5026,Male,Houston,Home,PayPal,False
32.126217,54252.754,351.07852,Male,Dallas,Home,Debit Card,True
57.45566,128708.2,774.3346,Male,New York,Clothing,Debit Card,True
23.749222,47796.703,291.0906,Other,San Diego,Beauty,Debit Card,False
56.66357,48978.004,140.52875,Female,San Diego,Clothing,PayPal,False
37.693882,118047.85,67.33819,Male,San Diego,Clothing,Credit Card,True
47.795475,148187.67,1211.1068,Male,San Antonio,Sports,Credit Card,False
20.030636,42266.324,159.2902,Other,Los Angeles,Home,Debit Card,False
61.454582,91626.555,534.72656,Female,Los Angeles,Sports,PayPal,True
27.404123,76949.7,56.618362,Female,Los Angeles,Beauty,UPI,False
34.81115,108860.22,726.27734,Male,Chicago,Electronics,UPI,True
44.51635,66980.92,132.39505,Other,Los Angeles,Beauty,Debit Card,False
36.860146,62177.715,11.7284155,Female,Houston,Sports,PayPal,False
36.842194,110492.83,748.9902,Male,Phoenix,Electronics,Debit Card,False
56.125927,52242.79,204.91081,Male,San Antonio,Beauty,PayPal,True
60.65631,63117.41,267.8565,Male,Houston,Home,UPI,False
47.52136,128617.33,1396.1512,Female,San Diego,Beauty,UPI,True
34.121204,127985.34,832.16235,Female,Dallas,Sports,PayPal,True
52.256626,32382.432,0.0,Male,Dallas,Clothing,Debit Card,False
40.66324,144227.08,871.1421,Other,Houston,Beauty,UPI,True
52.56833,88885.805,783.51337,Female,San Diego,Beauty,UPI,False
51.2875,39608.86,160.36655,Other,Phoenix,Electronics,UPI,False
18.858969,108851.1,331.4431,Male,San Jose,Electronics,UPI,True
45.900143,34128.14,313.59668,Male,San Diego,Beauty,PayPal,False
29.810349,132636.92,289.30075,Male,San Antonio,Home,UPI,False
42.16045,67925.08,59.344246,Other,Chicago,Clothing,PayPal,True
29.22999,87272.32,337.691,Male,Houston,Electronics,UPI,False
43.240112,105662.305,968.5568,Female,Dallas,Electronics,Debit Card,False
39.800262,83153.234,165.4559,Male,Los Angeles,Beauty,UPI,True
35.899864,70907.77,231.9396,Female,Los Angeles,Electronics,UPI,True
65.48214,39394.63,129.41806,Other,Dallas,Sports,Debit Card,True
44.7006,74051.94,186.46625,Other,San Jose,Home,PayPal,True
37.07397,135433.17,241.94443,Other,Dallas,Clothing,UPI,True
34.765873,38140.312,253.41856,Other,Chicago,Clothing,PayPal,False
42.61243,110085.88,635.81146,Female,Philadelphia,Sports,UPI,True
40.269787,74310.16,183.46973,Other,San Diego,Electronics,Debit Card,False
59.3512,40428.008,306.43817,Male,Dallas,Sports,Credit Card,True
38.177563,56215.582,211.96405,Other,San Diego,Beauty,PayPal,True
52.734985,119126.65,905.5969,Male,Phoenix,Sports,Credit Card,True
29.000187,142979.69,1058.9353,Other,Dallas,Clothing,UPI,True
37.302284,65674.77,565.76495,Female,Houston,Clothing,Credit Card,False
32.66287,114990.76,519.58875,Male,San Antonio,Clothing,PayPal,True
40.251072,75629.21,422.80017,Other,Phoenix,Home,PayPal,False
49.511127,47215.156,292.22772,Other,San Diego,Home,Debit Card,False
42.07475,92436.43,44.511208,Other,Chicago,Electronics,PayPal,True
34.131824,53780.703,50.417015,Male,San Antonio,Home,Debit Card,False
54.071865,128722.84,1080.4062,Other,Phoenix,Sports,UPI,False
22.435457,119671.16,841.8586,Male,Dallas,Beauty,UPI,True
49.98639,108019.78,1148.9983,Other,New York,Electronics,Credit Card,True
46.481937,57655.492,426.49216,Male,Los Angeles,Clothing,UPI,False
49.042336,94756.95,424.94125,Other,San Jose,Sports,UPI,True
15.972212,107351.51,527.9498,Male,Los Angeles,Electronics,PayPal,False
23.772457,88127.72,761.4261,Other,Los Angeles,Clothing,Credit Card,True
53.041275,46734.2,46.554447,Male,Dallas,Home,UPI,False
45.95795,49269.16,221.73232,Male,San Diego,Home,Debit Card,False
33.908463,128978.27,945.26556,Male,New York,Electronics,UPI,True
44.637604,99697.13,374.9725,Other,New York,Clothing,Credit Card,False
42.48915,119762.12,829.16833,Other,Dallas,Beauty,UPI,True
33.834057,151794.05,1300.0953,Other,Dallas,Home,Credit Card,True
57.11046,67236.06,592.75323,Other,New York,Clothing,PayPal,False
28.341078,99144.08,155.3698,Other,San Antonio,Electronics,PayPal,True
52.409977,76118.625,240.61914,Female,Dallas,Home,UPI,True
60.64764,136746.83,151.82376,Other,Philadelphia,Clothing,Credit Card,False
33.503117,143823.11,168.4355,Female,San Jose,Beauty,UPI,False
21.943577,107677.8,282.06052,Female,Phoenix,Clothing,PayPal,False
43.304794,55297.535,328.40152,Other,San Antonio,Electronics,UPI,True
64.15979,45471.17,116.271484,Female,San Antonio,Clothing,UPI,True
39.47401,26801.588,0.0,Female,San Diego,Home,PayPal,True
26.364721,41665.17,143.24611,Other,Dallas,Beauty,UPI,True
24.481874,37755.055,139.79703,Other,San Antonio,Beauty,PayPal,False
13.253729,76365.664,291.00955,Male,Dallas,Clothing,Debit Card,True
28.041414,48617.773,66.899216,Female,San Diego,Clothing,Debit Card,True
45.0604,87415.96,374.5194,Female,Los Angeles,Home,Credit Card,False
60.36773,113020.766,682.1913,Other,Houston,Sports,UPI,True
33.322414,36690.348,191.88495,Other,New York,Sports,PayPal,False
42.801937,83373.14,673.90295,Male,San Jose,Clothing,PayPal,True
56.18396,138884.92,183.28687,Female,Dallas,Electronics,PayPal,True
64.09997,121701.266,692.8947,Male,Houston,Beauty,UPI,False
41.724182,79807.17,127.66872,Other,Chicago,Beauty,Debit Card,True
67.018524,94532.01,754.1509,Male,San Diego,Sports,Credit Card,False
63.18186,99411.555,160.94366,Female,Dallas,Home,PayPal,False
39.82307,45319.465,192.52051,Other,San Diego,Beauty,PayPal,False
51.53853,47775.508,184.83192,Female,San Antonio,Beauty,Credit Card,True
35.6608,109437.98,733.51697,Male,San Jose,Electronics,UPI,False
45.92109,48696.52,26.414896,Female,Houston,Beauty,Debit Card,False
45.524635,59213.598,487.6188,Other,San Jose,Beauty,Debit Card,False
21.8232,100151.56,136.09402,Other,San Antonio,Electronics,Debit Card,False
34.320263,76966.02,383.60187,Male,Dallas,Home,PayPal,False
24.5942,90344.875,539.5282,Female,Houston,Clothing,PayPal,True
63.619244,52775.934,0.0,Female,Los Angeles,Clothing,Debit Card,True
53.38797,52074.742,190.61188,Female,San Diego,Electronics,UPI,False
24.954432,129912.08,701.3003,Female,New York,Beauty,Debit Card,False
54.659916,85106.51,384.4339,Other,Houston,Clothing,PayPal,False
49.172745,59995.863,340.27823,Other,Chicago,Sports,UPI,True
48.859234,33689.67,96.70469,Female,Dallas,Home,UPI,False
55.33342,53362.035,187.99019,Female,Phoenix,Clothing,PayPal,True
60.15461,47581.496,89.64508,Male,San Jose,Electronics,Debit Card,False
58.224594,48168.766,174.80629,Male,San Jose,Beauty,UPI,False
28.961752,108731.46,610.93304,Other,Chicago,Clothing,Debit Card,False
33.145115,52378.88,158.7931,Female,San Jose,Beauty,PayPal,True
49.69754,47748.605,160.26735,Female,San Diego,Home,Credit Card,False
58.179985,102927.555,301.80252,Female,San Diego,Electronics,UPI,True
28.04293,72131.625,113.857574,Male,Chicago,Home,Debit Card,True
53.441616,122554.55,1080.3479,Female,Dallas,Beauty,Credit Card,True
39.639595,127515.04,737.81854,Other,Los Angeles,Electronics,UPI,True
35.51304,42414.074,236.7076,Other,Los Angeles,Home,Credit Card,False
35.51886,70426.74,441.2484,Male,San Diego,Electronics,PayPal,False
68.80062,102713.055,768.3834,Other,San Jose,Beauty,Debit Card,True
27.707441,124317.24,225.12787,Male,San Jose,Clothing,Credit Card,True
38.13541,128061.055,234.29672,Other,Phoenix,Beauty,Credit Card,False
44.088634,53568.145,375.87436,Other,Chicago,Clothing,Debit Card,True
64.1768,80424.7,581.72766,Male,Phoenix,Sports,Debit Card,False
57.077667,83818.234,268.83102,Male,Los Angeles,Clothing,PayPal,False
44.224293,92297.78,369.73755,Male,Los Angeles,Sports,PayPal,True
50.767727,69583.29,183.60599,Female,Houston,Home,PayPal,False
33.480236,79939.23,472.9733,Male,San Jose,Sports,PayPal,True
23.281847,55711.043,184.73112,Female,New York,Electronics,Debit Card,False
53.724445,40883.055,289.94626,Female,Houston,Clothing,PayPal,False
41.462234,30254.117,240.71187,Female,Los Angeles,Electronics,UPI,True
40.451576,113563.2,509.64557,Female,Houston,Sports,UPI,False
18.373451,68571.47,234.05971,Male,San Jose,Clothing,UPI,True
19.74756,117582.31,604.38934,Male,San Antonio,Clothing,UPI,True
33.33941,72149.2,114.878136,Male,San Jose,Home,PayPal,False
29.074596,93563.94,741.66565,Female,Chicago,Electronics,Credit Card,True
43.769176,61503.668,454.32208,Male,Chicago,Sports,Credit Card,False
24.144785,143728.33,267.33514,Male,San Jose,Home,PayPal,False
36.497177,126255.11,211.70181,Female,Los Angeles,Clothing,PayPal,False
